Código;;Site;Rua;CEP;Cidade;Estado;CNPJ;Data de início de atividade;
180;SYMPLA;https://www.sympla.com.br/solucoes/sympla-play;;;;;14.512.528/0001-54;24/10/2011;
181;ACADEMIA ELORE;https://academia.elore.com.br/home;;;;;Não localizado;;
182;NO CHALKS;https://nochalks.com/plataforma-ead/;;;;;05.487.918/0001-20;03/02/2003;
183;MOODLE;https://moodle.org/?lang=pt_br;;;;;Não localizado;;
184;CENTRO EUROPEU;https://centroeuropeu.com.br/portal/areas/escola-de-negocios/;;;;;17.572.180/0001-89;18/12/2012;
185;CURSOS AVANTE;https://cursosavante.com.br/produto/curso-de-consultoria-empresarial-em-florianopolis-sc/;;;;;25.453.694/0001-43;10/08/2016;
186;EDUCAÇÃO EXECUTIVA;https://educacao-executiva.fgv.br/sp/sao-paulo;;;;;33.641.663/0001-44;16/02/1967;
187;UDESC ESAG;https://www.udesc.br/esag;;;;;02.365.677/0001-59;19/01/1998;
188;FACOPH ONLINE;http://www.facophonline.com.br/cursos/moodle/;;;;;04.344.730/0001-60;;
189;FACULDADE DE TIMBAUBA;https://www.faculdadedetimbauba.edu.br/;;;;;70.223.060/0001-59;06/06/1994;
190;FAETEC;http://www.faetec.rj.gov.br/;;;;;31.608.763/0001-43;11/12/1987;
191;FEBRACIS;https://febracis.com/;;;;;20.283.707/0001-60;20/05/2014;
192;FIEG;https://fieg.com.br/home;;;;;01.618.958/0001-03;18/06/1969;
193;FIESP;https://www.fiesp.com.br/;;;;;62.225.933.0001-34;15/10/1968;
194;FIRJAN;https://www.firjan.com.br/pagina-inicial.htm;;;;;42.422.212/0001-07;16/04/1975;
195;FUCAP;https://www.fucap.edu.br/wp/;;;;;03.681.405/0001-20;20/12/1999;
196;G4EDUCAÇÃO;https://g4educacao.com/;;;;;42.080.852/0001-86;25/05/2021;
197;GP CONSULTORIA;https://gppconsultoria.com.br/2017/;;;;;05.810.797/0001-06;01/08/2003;
198;HOLUS GESTAO;https://www.holusgestao.com.br/;;;;;09.462.670/0001-02;19/03/2008;
199;IBC COACHING;https://www.ibccoaching.com.br/;;;;;21.210.915/0001-00;10/10/2014;
200;PORTALIBG;https://portalibg.com.br/;;;;;10.409.442/0001-40;14/10/2008;
201;IMPACTA;https://impacta.com.br/;;;;;59.069.914/0001-51;10/06/1988;
202;GOV;https://www.gov.br/inpi/pt-br;;;;;42.521.088/0001-37;14/12/1970;
203;IFRJ;https://portal.ifrj.edu.br/;;;;;10.952.708/0001-04;30/12/2008;
204;INTEGRAÇÃO - ESCOLA DE NEGÓCIOS;https://integracao.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCAt3Pkty8Daa36METbFKP4ZMkrjm3EaBo9RVIixTXFpROWd4i5IN4aArWJEALw_wcB;;;;;03.493.782/0001-36;30/09/1999;
205;IPCBRASIL;https://ipcbrasil.com.br/;;;;SC;09.520.471/0001-03;29/04/2008;
206;IPECONT;https://ipecont.com.br/;;;;MG;18.579.559/0001-83;20/06/2013;
207;SLA COACHING;https://www.slacoaching.com.br/;;;;SP;15.229.739/0001-47;15/02/2012;
208;IVEN CONSULTORIA;https://ivenconsultoria.com.br/;;;;PR;27.810.853/0001-45;24/05/2017;
209;MACKENZIE;https://www.mackenzie.br/aluno-e-antigo-aluno/universidade/protagonismo-estudantil/empresa-junior;;;;SP;60.967.551/0008-27;16/09/2008;
210;GRUPO KLA;https://www.grupokla.com.br/;;;;SP;01.175.799/0001-10;29/04/1996;
211;LEANDRO ROSADAS;https://blog.leandrorosadas.com.br/;;;;;Pessoa física;;
212;CICLO DA MAESTRIA;https://ciclodamaestria.wendellcarvalho.com.br/fv_cdm_002/fvd2/cdm01/?src=13606073669_133138397427_564520800659&utm_source=&utm_medium=g&utm_campaign=fv_cdm_002&utm_content=ciclodamaestria&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCOfhNYd7Zz8kil-zzcqwq4EX1UNJcTj8P5sgp_fPn9yoZh2_8O_poaAqTtEALw_wcB;;;;SC;11.957.930/0001-54;18/05/2010;
213;MICROLINS;https://www.microlins.com.br/;;;;SP;11.490.350/0001-08;08/01/2010;
214;INSTITUTO MIX;https://www.institutomix.com.br/cursos/?gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsBud5MDTu4TvSgNnQ7SeOfVeSggDU1RXd3hL-sEV2mHHOcuTP7CrV4aAn08EALw_wcB;;;;SC;16.746.542/0001-48;15/08/2012;
215;MULTIVIX;https://multivix.edu.br/;;;;ES;11.062.400/0001-48;10/08/2009;
216;NEW CURSOS ONLINE;https://www.newcursosonline.com.br/;;;;;Não encontrado;;
217;; ;;;;;Não encontrado;;
218;ANA CARLA SOLER;https://www.linkedin.com/in/anacarlasoler/;;;;;Pessoa física;;
219;PARTNER BRASILIA;https://partnerbrasilia.com.br/cursos/;;;;DF;04.927.866/0001-01;28/02/2002;
220;GUIA TRABALHISTA;http://www.guiatrabalhista.com.br/guia/particip_lucros.htm;;;;;Não encontrado;;
221;MEC;http://portal.mec.gov.br/pronatec;;;;;Projeto do gov federal;;
222;CENSUPEG;https://www.censupeg.com.br/academy/;;;;RJ;10.158.686/0001-05;09/07/2008;
223;SESCON;https://sescon.org.br/;;;;SP;62.638.168/0001-84;09/12/1969;
224;TREINATEC;https://www.treinatec.net.br/;;;;SC;28.032.406/0001-75;23/06/2017;
225;SINDILAV;https://sindilav.com.br/;;;;SP;62.658.182/0001-40;24/03/1970;
226;SUCESSO EM VENDAS;https://sucessoemvendas.com.br/;;;;PR;14.577.166/0001-80;24/10/2011;
227;ALIANÇA EMPREENDEDORA;https://aliancaempreendedora.org.br/tamojunto/?gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsBdyyDybbc33eqV0Z2qEeX8SDioENf_ct_krfUBtiEjXzQEG9hIqXkaAi7LEALw_wcB;;;;PR;07.324.851/0001-39;13/04/2005;
228;CONTABILIDADE TEC;https://contabilidadetec.com.br/;;;;MG;25.006.294/0001-90;15/06/2016;
229;TIAGOTESSMANN;https://www.tiagotessmann.com.br/;;;;;Pessoa física;;
230;IMPAR CAPITAL;http://www.imparcapital.com.br/#/;;;;SP;31.033.999/0001-07;26/07/2018;
231;UFRJ;https://ufrj.br/;;;;RJ;00.000.000/2203-96;21/03/1991;
232;ANAMACO;https://www.anamaco.com.br/;;;;SP;60.269.487/0001-34;03/04/1989;
233;UNESP;https://www2.unesp.br/;;;;SP;48.031.918/0038-16;25/01/2008;
234;UNIASSELVI;https://portal.uniasselvi.com.br/;;;;SC;01.894.432/0001-56;30/05/1997;
235;UNICESUMAR;https://inscricoes.unicesumar.edu.br/;;;;PR;79.265.617/0001-99;05/08/1986;
236;UNIVERSIDADEDAVINCI;https://universidadedavinci.com.br/;;;;PR;04.383.628/0001-74;27/03/2001;
237;MOURA EDUCAÇÃO;https://mourasite2.jnmoura.com.br/ucmoura/;;;;;Não encontrado;;
238;UFF;https://www.uff.br/;;;;RJ;28.523.215/0033-93;30/12/1988;
239;UNOPAR;https://www.unopar.com.br/;;;;PR;13.284.099/0001-42;21/02/2011;
240;UNIVERSO;https://universo.edu.br/;;;;;28.638.393/0001-82;01/12/1972;
241;UNIVILLE;https://www.univille.edu.br/;;;;SC;84.714.682/0001-94;24/02/1970;
242;UNP;https://www.unp.br/;;;;RN;12.985.594/0003-88;30/11/1995;
243;UVA;https://www.uva.br/;;;;RJ;34.185.306/0017-49;14/01/2014;
244;MIT;https://exec.mit.edu/s/;;;;;Fora do país;;
245;GISMA;https://www.gisma.com/;Alemanha;;;;Fora do país;;
246;VLERICK;https://www.vlerick.com/en/for-companies/;Bélgica;;;;Fora do país;;
247;AUSTRÁLIA BRASIL;https://australiabrasil.com.br/;Austrália;;;;Fora do país;;
248;MIT - INSTITUTO DE TECNOLOGIA DE MASSACHUSETTS;https://learn-xpro.mit.edu/system-thinking?utm_medium=ppc&utm_source=google&utm_campaign=LASERx&utm_term=learn%20product%20management&utm_content=aw-c&utm_term=learn%20product%20management&utm_campaign=Lifetime+Campaign+-+System+Thinking++-+C+(Run+3+SU21)&utm_source=adwords&utm_medium=ppc&hsa_acc=5157372594&hsa_cam=10966888743&hsa_grp=109105260678&hsa_ad=461214432458&hsa_src=g&hsa_tgt=kwd-24494343&hsa_kw=learn%20product%20management&hsa_mt=b&hsa_net=adwords&hsa_ver=3&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsBkdu3spZ6JyGl40m4SS47nUnoowd7oYrVKXMkPf-Et9fwGPdcqoWYaApNSEALw_wcB;Estados Unidos;;;;Fora do país;;
249;PRODUCT INSTITUTE;https://productinstitute.com/#courses;Estados Unidos;;;;Fora do país;;
250;HULT INTERNATIONAL BUSINESS SCHOOL;https://www.hult.edu/;Estados Unidos;;;;Fora do país;;
251;IMD;https://www.imd.org/IMD-Business-School/lp/world-best-business-school-in-the-world/?utm_source=Google&utm_medium=paid-search&utm_campaign=AD_SEM_BusSchool&mrk_cmpg_source=AD_SEM_AW_LP_BG-BS_17&utm_source=google&utm_medium=cpc&utm_campaign=AD_SEM_AW_LP_BG-BS_17&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsDFgXXxB40HB4c0LNVjd4wMu4QWU2VWWFB9mrScrTDKsfA71uIH-b8aAiowEALw_wcB;Suíça;;;;Fora do país;;
252;KELLOGG;https://www.kellogg.northwestern.edu/executive-education/take-action/l/requestdisp/?utm_source=google&utm_medium=cpc&utm_term=%2Bbusiness%20%2Bcourses&utm_campaign=Exec_Ed-General_HV-Geo_Non_Brand&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCSMLb5T2IeDrvv_l9CdqHMkPDxi1O8Ba-hSth6h9S1E_efefesprUaAoujEALw_wcB&gclsrc=aw.ds;Estados Unidos;;;;Fora do país;;
253;MICHIGAN ROSS;https://michiganross.umich.edu/;Estados Unidos;;;;Fora do país;;
254;HARVARD;https://pll.harvard.edu/subject/business;Estados Unidos;;;;Fora do país;;
255;EDX;https://www.edx.org/learn/business-administration;Múltiplos países;;;;Fora do país;;
256;FUTURE LEARN;https://www.futurelearn.com/subjects/business-and-management-courses;Inglaterra;;;;Fora do país;;
257;HARVARD BUSINESS SCHOOL ONLINE;https://online.hbs.edu/courses/;Estados Unidos;;;;Fora do país;;
258;CLASS CENTRAL;https://www.classcentral.com/subject/business;Estados Unidos;;;;Fora do país;;
259;ALISON;https://alison.com/pt-BR/cursos/negocios;Estados Unidos;;;;Fora do país;;
260;OPEN CULTURE;https://www.openculture.com/business_free_courses;Estados Unidos;;;;Fora do país;;
261;YALE;https://www.yale.edu/academics/non-degree-offerings;Estados Unidos;;;;Fora do país;;
262;MASTERCLASS;https://www.masterclass.com/;Estados Unidos;;;;Fora do país;;
263;REGÊNCIA CONTABILIDADE;https://www.regenciacontabilidade.com.br/consultoria-empresarial-em-santa-catarina;;;;SC;82.144.114/0001-70;15/08/1990;
264;SC CONSULTORIA AMBIENTAL;https://www.scconsultoriaambiental.com.br/;;;;SP;34.140.627/0001-60;08/07/2019;
265;MOURA FERNANDES;https://www.mourafernandes.com.br/consultoria-empresarial-sc;;;;SP;74.505.850/0001-88;23/08/1994;
266;NEITZKE CONSULTORIA;https://neitzkeconsultoria.com/;;;;SC;31.868.825/0001-56;25/10/2018;
267;FALCONI;https://www.falconi.com/home;;;;SP;03.584.875/0001-76;10/01/2000;
268;GUP;https://www.gup.com.br/;;;;RS;68.718.162/0001-01;07/01/1993;
269;MORCONE;https://www.morcone.com.br/;;;;SP;23.419.632/0001-90;06/10/2015;
270;INTEXFY;https://www.intexfy.com/;;;;SC;14.235.373/0001-56;26/08/2011;
271;SEBRAE AC;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AC;;;;AC;63.595.557/0001-32;05/04/1991;
272;SEBRAE AL;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AL;;;;AL;12.517.413/0001-27;03/04/1981;
273;SEBRAE AP;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AP;;;;AP;04.662.409/0001-24;07/01/1981;
274;SEBRAE AM;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=AM;;;;AM;04.322.004/0001-47;18/02/1975;
275;SEBRAE BA;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=BA;;;;BA;14.797.724/0034-80;24/04/1991;
276;SEBRAE CE;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=CE;;;;CE;07.121.494/0001-01;31/01/1972;
277;SEBRAE DF;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=DF;;;;DF;00.438.200/0001-20;29/12/1975;
278;SEBRAE ES;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=ES;;;;ES;27.364.462/0001-44;25/01/1977;
279;SEBRAE GO;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=GO;;;;GO;01.269.984/0001-73;16/10/1973;
280;SEBRAE MA;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MA;;;;MA;06.053.847/0001-10;24/04/1973;
281;SEBRAE MT;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MT;;;;MT;03.534.450/0001-52;24/12/1975;
282;SEBRAE MS;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MS;;;;MS;15.419.591/0001-03;06/02/1980;
283;SEBRAE MG;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=MG;;;;MG;16.589.137/0001-63;12/09/1972;
284;SEBRAE PA;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PA;;;;PA;05.081.187/0001-19;19/09/1974;
285;SEBRAE PB;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PB;;;;PB;09.139.551/0001-05;18/02/1970;
286;SEBRAE PR;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PR;;;;PR;75.110.585/0001-00;22/11/1972;
287;SEBRAE PE;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PE;;;;PE;09.829.524/0001-64;29/05/1972;
288;SEBRAE PI;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=PI;;;;PI;06.665.129/0001-03;03/12/1973;
289;SEBRAE RN;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RN;;;;RN;08.060.774/0001-10;27/09/1973;
290;SEBRAE RS;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RS;;;;RS;87.112.736/0001-30;07/11/1972;
291;SEBRAE RJ;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RJ;;;;RJ;29.737.103/0001-10;14/09/1977;
292;SEBRAE RO;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RO;;;;RO;04.774.105/0001-59;11/02/1981;
293;SEBRAE RR;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=RR;;;;RR;04.685.236/0001-60;02/02/1981;
294;SEBRAE SC;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=SC;;;;SC;82.515.859/0001-06;08/08/1972;
295;SEBRAE SE;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=SE;;;;SE;13.115.183/0001-32;02/12/1975;
296;SEBRAE SP;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=SP;;;;SP;43.728.245/0001- 42;18/07/1973;
297;SEBRAE TO;https://www.sebrae.com.br/sites/PortalSebrae/cursoseeventos?uf=TO;;;;TO;25.089.962/0001-90;08/08/1989;
298;SEBRAE 100% ONLINE;https://www.sebrae.com.br/sites/PortalSebrae/cursosonline;;;;;10.393.366/0001-21;25/09/2008;
299;DESCOMPLICA;https://cursos-livres.descomplica.com.br/;;;;;10.393.366/0001-21;25/09/2008;
300;VERBO EDUCACIONAL;https://www.verboeducacional.com.br/cursos/;;;;;05.461.103/0001-72;17/12/2002;
301;UNINTER;https://extensaocommerce.uninter.com/CursosArea/1;;;;;02.261.854/0001-57;18/11/1997;
302;WITSEED;https://landing.witseed.com/;;;;;08.312.141/0001-51;25/09/2006;
303;CEPED CURSOS;https://www.cepedcursos.com/;;;;;12.579.969/0001-48;24/09/2010;
304;ACIF;https://www.acif.org.br/;;;;;;;
305;AJORPEME;https://www.ajorpeme.com.br/;;;;;;;
401;Cursos Módulos;https://www.cursosmodulos.com.br/;;;;MT;;;
402;BTC;https://www.btcompany.com.br/;;;;MT;;;
403;Unisul Digital;https://loja.unisulonline.com.br/;;;;MT;;;
404;Universidade Anhembi Morumbi;https://loja.anhembionline.com.br/;;;;MT;;;
405;Senac MT;https://www.mt.senac.br/;;;;MT;;;
406;Fatec Senai MT;https://www.fatecsenai.com.br/;;;;MT;;;
407;Fundação Uniselva - UFMT;https://web.fundacaouniselva.org.br/;;;;MT;;;
408;Unic;https://www.unic.com.br/;;;;MT;;;
409;Mercado e-commerce;https://www.mercadoecommerce.com.br/;;;;MT;;;
410;Expert Digital;https://expertdigital.net/;;;;MT;;;
411;Eprotec;https://www.eproteccg.com.br/;;;;MT;;;
412; Unesc;https://digital.unesc.net/;;;;SC;;;
413;Fundação Empreender;http://www.fe.org.br/programas/pgve/;;;;SC;;;
414;Centro de Inovação de Blumenau;http://centrosdeinovacao.sc.gov.br/centro-de-inovacao-de-blumenau/;;;;SC;;17/12/2020;não tinha cursos
415;AMPE - Blumenau;https://ampeblumenau.com.br/;;;;SC;;;
416;FURB;https://www.furb.br/pt;;;;SC;;;não tinha cursos
417;UFSC;https://ufsc.br/;;;;SC;;;não tinha cursos
418;Universidade do Contestado;https://www.unc.br/;;;;SC;;;
419;FACISC (DEL);https://www.facisc.org.br/solucao/del/;;;;SC;;;Não tinha cursos
420;ACIB - Associação Empresarial de Blumenau;http://www.acibblumenau.com.br/;Rua Antônio Treis 607 - 2º andar;89015-400;Blumenau;SC;;;Checar cursos
421;ACIT - Associação Empresarial de Tubarão;https://www.acittubarao.com.br/;Av. Marcolino Martins Cabral 1788 - Ed. Minas Center 2º andar;88705-001;Tubarão;SC;;;Possui Cursos
422;ACIL Lages - Associação Empresarial de Lages ;https://www.acilages.com.br/institucional;Av. Belizário Ramos 2276 - Centro ;88501-066;Lages;SC;;;Não tinha cursos
423;ACIC - Associação Empresarial de Criciúma;https://www.acicri.com.br/sobre-acic;Rua Ernesto Bianchini Góes 91;88815-030;Criciúma;SC;;;Possui Cursos
424;ACIC - Associação Empresarial de Chapecó;https://www.acichapeco.com.br/;Av. Getúlio Vargas 1748 N;;Chapecó;SC;;;Possui Cursos
425;ACISBS - Associação Empresarial de São Bento do Sul ;https://acisbs.org.br/;R. Afonso Grosskopf 352;89.288-200;São Bento do Sul;SC;;;Não tinha cursos
426;Ambientec - Consultoria em Segurança do Trabalho;https://www.ambientec.com/capacitacao/;Av. Pres. Getulio Vargas 593 – 2 andar – Rebouças;80230-030;Curitiba;PR;;;Possui Cursos
427;Anna Mazuco - Consultoria Organizacional em Processos Pessoas e Segurança Jurídica;;Anexo a Acit - Av. Marcolino Martins Cabral 1788 - 2º andar;88705-903;Tubarão;SC;;;
428;Davar - Mentoria de Marketing e Vendas;https://davar.agency/;;;Tubarão;SC;33.475.420/0001-83;;
429;Eficaz - Consultoria em Gestão da Qualidade e Processos;https://www.eficazassessoria.com.br/;Av. Marcolino Martins Cabral Nº 926 - Centro ;88701-110;Tubarão;SC;;;
430;Eluz - Consultoria focada em Economia de Energia;;;;;;;;Concorrente ACIC Tubarão
431;Escritório Dinâmico - Secretaria Remota e Assessoria Administrativa;https://escritorio-dinamico.ueniweb.com/#about_us;Av. Marcolino Martins Cabral 1788;;Tubarão;SC;;;
432;ACIJ - Associação Empresarial de Joinville;https://www.acij.com.br/;Av. Aluísio Pires Condeixa 2.550;89.221-750;Joinville;SC;;;
433;ACISMO - São Miguel do Oeste;https://www.acismo.com.br/;Rua Sete de Setembro 2307;;São Miguel do Oeste;SC;;;Possui Cursos
434;ACIBR;https://acibr.org.br/;Centro Empresarial Andromeda Sala - 401-G;;Brusque;SC;;;Não tinha cursos
435;Associação Empresarial de Itajaí - ACII;https://www.acii.com.br/;;;Itajaí;SC;;;Não tinha cursos
436;ACIRS - Associação Empresarial de Rio do Sul;https://acirs.com.br;;;Rio do Sul;SC;;;Não tinha cursos
437;ACIBALC - Associação Empresarial de Balneário Camboriú e Camboriú;https://www.acibalc.com.br/;;;Balneário Camboriú;SC;;;Não tinha cursos
438;ACIC - Associação Empresarial de Caçador;https://www.portalacic.com.br/;;;Caçador;SC;;;Não tinha cursos
439;ACIAV - Associação Empresarial de Videira;https://aciav.org.br/;;;Videira;SC;;;Não tinha cursos
440;ACIOC - Associação Comercial e Industrial Oeste Catarinense;https://www.acioc.com.br/;;;Joaçaba;SC;;;Não tinha cursos
441;ACIJS - Associação Empresarial de Jaraguá do Sul;https://acijs.com.br/;Rua Octaviano Lombardi 100;;Jaraguá do Sul;SC;;;Possui
442;ACIX-Associação Empresarial de Xanxerê;https://acix.com.br/;Av. Brasil 260 - Salas 502/503 - 5° andar;89820-000;Xanxerê;SC;;;Não tinha cursos