Código,Nome,Site,Rua,CEP,Cidade,Estado,CNPJ,Data de início de atividade,Unnamed: 9,quantidade_de_cursos,preco_medio,preco_std,duracao_media,duracao_std,maturidade_media,prop_online,preco_hora_medio,idade
1,SENAI,cursos.sesisenai.org.br,Rod. Admar Gonzaga 2765,88034-001,Florianópolis,SC,03.774.688/0002-36,2000-05-11,,117,2512.4729059829056,5313.7770361623425,81.78632478632478,121.26532533757474,3.1538461538461537,0.5641025641025641,30.719963423555225,22.432876712328767
2,FUNDAÇÃO DOM CABRAL SP,https://www.fdc.org.br/,Av. Dr. Cardoso de Melo 1.184,04548-004,São Paulo,SP,19.268.267/0003-54,2008-01-09,,6,71186.66666666667,60016.323242560895,517.5,472.7330994687524,4.0,0.0,137.55877616747182,14.764383561643836
3,FUNDAÇÃO DOM CABRAL MG,https://www.fdc.org.br/,Rua Bernardo Guimarães 3.071,30140-083,Belo Horizonte,MG,19.268.267/0001-92,1976-11-04,,4,32500.0,0.0,450.0,0.0,4.0,0.0,72.22222222222223,45.964383561643835
4,FUNDAÇÃO DOM CABRAL MG,https://www.fdc.org.br/,Av. Princesa Diana 760,34018-006,Nova Lima,MG,19.268.267/0001-92,1976-11-04,,10,52250.0,58025.35411352524,250.1,427.4286958078505,4.0,0.4,208.91643342662934,45.964383561643835
5,SENAC,https://www.ead.senac.br/,,,São Paulo,SP,03.709.814/0001-98,2000-01-11,,2471,6127.277988668556,1543.8458914208975,355.566976932416,37.72324974809483,3.9943342776203967,0.013759611493322542,17.232415792744415,22.764383561643836
6,ITC CURSOS E TREINAMENTOS,https://www.itccursosetreinamentos.com.br/,,,Florianópolis,SC,03.016.693/0001-07,1999-03-08,,117,241.07692307692307,62.29103924337533,6.854700854700854,3.0725277248405427,2.1367521367521367,1.0,35.16957605985037,23.610958904109587
7,SEST SENAT,https://www.sestsenat.org.br/,Ed. Clésio Andrade,70070-944,Brasília,DF,73.471.989/0001-95,1993-10-08,,16,0.0,0.0,240.25,167.50652972347078,4.0,1.0,0.0,29.027397260273972
8,PREPARA CURSOS,https://www.prepara.com.br/,Avenida Bady Bassit 4960,,São José do Rio Preto,SP,13.696.742/0001-45,2011-05-24,,11,2626.364545454546,1414.9879202784327,258.3636363636364,133.95540148413897,1.0909090909090908,0.8181818181818182,10.165380014074596,11.391780821917807
9,CDL FLORIANOPOLIS,https://www.cdlflorianopolis.org.br/capacitacao,Rua Felipe Schmidt 679,88010-001,Florianópolis,SC,83.901.660/0001-70,1971-04-30,,63,199.8360655737705,155.25295914160608,7.721311475409836,7.803175367824042,1.5238095238095237,0.4603174603174603,25.881104033970278,51.484931506849314
12,ANHAGUERA,https://www.anhanguera.com/cursos/,,,,,04.310.392/0034-04,2014-01-06,,265,697.4726037735849,395.2271344940655,1114.4150943396226,984.8170682341814,2.8377358490566036,0.720754716981132,0.6258642828118651,8.767123287671232
13,ECONET TREINAMENTO E DESENVOVIMENTO,https://www.econettreinamento.com.br/,Rua Gago Coutinho nº 553,82.510-230,Curitiba ,PR,09.597.887/0001-11,2008-05-19,,11,850.5454545454545,268.4434471122748,8.727272727272727,2.2998382983042758,2.0,0.0,97.45833333333334,14.405479452054795
14,CENOFISCO - CENTRO DE CAPACITAÇÃO PROFISSIONAL,https://cursos.cenofisco.com.br/,Av. Paulista 1.337,01311-200,São Paulo,SP,07.799.454/0001-13,2006-01-04,,117,,,12.034188034188034,7.761323818630079,2.264957264957265,0.8717948717948718,,16.778082191780822
15,CEFIS,https://cefis.com.br/,,,,,20.799.537/0001-70,2014-08-07,,114,21.9,0.0,1.7280701754385965,1.019847664228978,1.587719298245614,1.0,12.673096446700507,8.183561643835617
17,FGV - FUNDAÇÃO GETÚLIO VARGAS,https://portal.fgv.br/,,,,,33.641.663/0001-44,1967-02-16,,51,20015.561764705886,19810.11525004708,222.0392156862745,192.27043462466457,3.9607843137254903,0.6274509803921569,90.14426439420701,55.68767123287671
20,ABIMAQ,https://abimaq.org.br/cursos,Avenida Jabaquara 2925 Entrada Social: Rua Bento de Lemos s/n,04045-902,São Paulo,SP,46.390.209/0001-00,1975-03-05,,7,618.5714285714286,259.5836540874401,9.428571428571429,3.6589281356759136,2.7142857142857144,1.0,65.60606060606061,47.635616438356166
21,ABRASEL,https://www.abrasel.com.br/conexao/cursos,Rua Bambuí 20 cj 102/103 Serra,30.210-490,Belo Horizonte,MG,13.353.423/0001-37,2011-03-02,,9,0.0,0.0,0.0,0.0,2.0,1.0,,11.61917808219178
22,ACIL,http://acil.com.br/agenda,Rua Minas Gerais 297 1º Andar,86010-905,Londrina ,PR,76.929.157/0001-68,1973-11-16,,8,226.75,65.94078783272157,6.875,2.7585095613392387,1.25,1.0,32.981818181818184,48.93424657534246
23,ACCELERE,https://accelere.se/quem-somos/,Av. T-1 nº 2208 1º andar Setor Bueno,74.215-022,Goiânia,GO,22.491.853/0001-06,2015-04-24,,4,,,41.5,11.779218989389747,3.0,1.0,,7.471232876712329
24,AGÊNCIA DE BOLSO,https://agenciadebolso.com/,Av. Juscelino Kubitscheck 350,89201-100,Joinville,SC,33.221.091/0001-44,2019-04-01,,3,525.9666666666667,217.35010671469402,2.6666666666666665,0.9428090415820634,1.0,1.0,197.2375,3.5315068493150683
27,BOM NEGÓCIO,http://www.bomnegocio.curitiba.br/programa/o-que-e/,Rua Engenheiros Rebouças 1732 1º Andar - Rebouças,80230-040,Curitiba ,PR,Não encontrado,,,1,0.0,0.0,90.0,0.0,1.0,0.0,0.0,
28,BRADESCO ESCOLA,https://www.ev.org.br/areas-de-interesse,,,,,60.701.521/0001-06,1970-04-30,,30,,,11.666666666666666,7.24031920720504,1.6333333333333333,1.0,,52.484931506849314
30,CAP CURSOS PROFISSIONALIZANTES,https://ead.cursosonlinecap.com.br/,,,Rosário,MA,Não encontrado,,,8,128.75,32.185982973959334,11.0,2.449489742783178,1.125,1.0,11.704545454545455,
31,UDEMY,https://udemy.com/,,,,,29.030.862/0001-49,2017-11-08,,55,26.336363636363643,19.237051027415948,5.345454545454546,6.7101501996959305,1.8181818181818181,1.0,4.92687074829932,4.926027397260274
32,CDL MATRIZ,https://cdls.org.br/author,,,,,03.488.542/0001-43,1999-03-04,,144,118.79250000000002,229.8765814382796,7.733333333333333,2.9089898972361903,1.4594594594594594,0.08333333333333333,15.361099137931037,23.621917808219177
34,SESCAR LDR,https://www.sescapldr.com.br/cursos,,,,,Não encontrado,,,37,0.0,0.0,8.0,1.8027756377319946,2.4864864864864864,1.0,0.0,
35,ESCON ESCOLA DE CURSOS ONLINE,https://cursosescon.com.br/cursos,,,,,11.362.429/0001-45,2009-11-30,,8,0.0,0.0,8.0,0.0,2.0,1.0,0.0,12.871232876712329
37,CRUZEIRO DO SUL,https://www.cruzeirodosul.edu.br/,,,,,62.984.091/0001-02,1970-12-18,,12,,,28.333333333333332,32.36081306491267,2.8333333333333335,0.0,,51.84931506849315
38,DOMESTIKA,https://www.domestika.org/pt,,,,,39.801.267/0001-13,2020-11-16,,47,43.0,12.682707275254256,2.4893617021276597,0.9865551590952877,2.1702127659574466,1.0,17.273504273504273,1.9013698630136986
41,EB TREINAMENTOS,https://ebtreinamentos.com/,,,,,14.197.449/0001-04,2011-08-29,,8,198.66666666666666,183.52262954621037,40.125,47.02243480510128,2.75,1.0,4.951194184839045,11.126027397260273
50,TOTVS,https://www.totvs.com/consulting/,,,,,53.113.791/0001-22,1983-12-13,,27,,,13.333333333333334,6.622073078111705,2.1481481481481484,1.0,,38.85479452054795
80,CARLOS ESAU,https://www.carlosesaumentor.com/,,,,RS,10.824.337/0001-77,2009-05-14,,3,2573.0,1655.4167652487595,12.333333333333334,7.133644853010899,3.6666666666666665,0.0,208.6216216216216,13.419178082191781
98,PAULA PEDROZA,http://paulapedrosa.com.br/,,,,AM,26.765.311/0001-35,2016-12-27,,4,263.3333333333333,202.70394394014363,7.0,4.06201920231798,3.0,0.0,37.61904761904761,5.791780821917809
102,CARLAGO,http://www.carlagalo.com.br/,,,,BA,08.606.894/0001-70,2007-01-26,,76,0.0,0.0,0.0,0.0,3.0,0.0,,15.717808219178082
104,DNCE,https://dnce.com.br/,,,,BA,23.724.502/0001-60,2015-11-24,,13,294.5846153846154,143.36087786343646,17.692307692307693,13.355405793360434,2.3846153846153846,0.0,16.650434782608695,6.884931506849315
105,CONGNITIVE CPC,https://cognitivecpc.webnode.com/,,,,BA,28.942.151/0001-88,2020-04-28,,1,49.99,0.0,0.0,0.0,2.0,1.0,inf,2.4547945205479453
107,CONEX CONTÁBIL,http://www.conexcontabil.com.br/,,,,BA,07.003.927/0001-24,2004-09-20,,2,0.0,0.0,0.0,0.0,2.0,0.0,,18.068493150684933
108,REDE GESS,https://redegess.com.br/,,,,BA,26.826.512/0001-03,2017-01-09,,3,0.0,0.0,0.0,0.0,2.0,0.0,,5.756164383561644
120,EVOLUIR SST,https://evoluirsst.com/,,,,GO,33.597.866/0001-80,2019-05-13,,15,109.78000000000002,35.11372381277725,10.933333333333334,8.69840342949338,2.2,1.0,10.040853658536587,3.4164383561643836
127,ACCELERE,https://accelere.se/,,,,GO,07.322.394/0001-43,2005-03-18,,4,,,39.0,15.0,3.25,0.0,,17.578082191780823
130,GAKKAICONSULTORIA,https://gakkaiconsultoria.com.br/,,,,,17.059.788/0001-04,2015-07-07,,13,,,14.4,3.2,4.0,0.0,,7.2684931506849315
132,COMSCHOOL,https://www.comschool.com.br/,,,,,17.816.363/0001-00,2013-02-06,,7,2910.0714285714284,1632.3545752022364,65.14285714285714,48.44858414982267,3.7142857142857144,0.14285714285714285,44.67214912280702,9.682191780821919
134,CURSOS CPT,https://www.cpt.com.br/cursos-gestaoempresarial,,,,,05.052.622/0001-87,2002-05-10,,35,663.1142857142858,80.32461690934264,52.31428571428572,18.356425778101215,2.085714285714286,1.0,12.675587110868378,20.435616438356163
136,PRIME CRUSOS,https://www.primecursos.com.br/,,,,,09.408.027/0001-92,2018-03-10,,104,0.0,0.0,31.14423076923077,9.069622022943031,2.4903846153846154,1.0,0.0,4.5917808219178085
138,FACOPI,https://www.facopi.com.br/,,,,MG,24.923.680/0001-83,2016-06-02,,5,540.0,480.0,18.8,15.67673435381234,4.0,1.0,28.72340425531915,6.361643835616438
148,PORTAL FGV,https://portal.fgv.br/,,,,,33.641.663/0001-44,1967-02-16,,25,15976.7292,24069.471484006113,55.2,40.40989977715857,3.36,0.64,289.4335,55.68767123287671
149,IED SÃO PAULO,https://ied.edu.br/sao_paulo/,,,,,08.620.427/0001-02,2007-01-31,,12,,,40.36363636363637,7.7138921583987,2.5833333333333335,0.0,,15.704109589041096
150,GRUPO IBECC,https://ibecc.com.br/calendario-de-cursos/,,,,pr,06.860.103/0001-08,,,25,653.0,226.7333235322942,8.12,3.8400000000000003,2.68,1.0,80.41871921182266,
161,COURSERA,https://pt.coursera.org/,,,,,Não localizado,,,10,43948.814,45652.65433525442,387.0,158.62219264655246,4.0,1.0,113.562826873385,
162,ROCK UNIVERSITY,https://university.br.rockcontent.com/,,,,,16.501.060/0001-28,2012-07-16,,8,0.0,0.0,0.0,0.0,2.75,1.0,,10.243835616438357
169,ILOVERS,https://llovers.com.br/?ref=U10046768C,,,,,08.898.065/0001-08,2007-06-06,,6,597.0,0.0,2.1666666666666665,2.608745973749755,2.0,1.0,275.53846153846155,15.35890410958904
175,EDUZZ,https://academia360.eduzz.com/cursos,,,,,09.573.540/0001-39,2008-05-07,,7,0.0,0.0,2.5714285714285716,3.063944369932459,1.7142857142857142,1.0,0.0,14.438356164383562
177,ACADEMY HUBSPOT,https://academy.hubspot.com/pt/,,,,,Não localizado,,,30,0.0,0.0,1.2,0.7483314773547881,2.1333333333333333,1.0,0.0,
179,SAPIUM,https://www.sapium.com.br/,,,,,31.749.194/0001-56,2018-10-11,,3,79.93333333333334,28.331411699541007,1.0,0.0,1.6666666666666667,1.0,79.93333333333334,4.002739726027397
181,ACADEMIA ELORE,https://academia.elore.com.br/home,,,,,Não localizado,,,3,29.96666666666667,42.37926641911375,8.0,0.0,1.0,1.0,3.7458333333333336,
184,CENTRO EUROPEU,https://centroeuropeu.com.br/portal/areas/escola-de-negocios/,,,,,17.572.180/0001-89,2012-12-18,,2,,,164.0,0.0,4.0,0.5,,9.819178082191781
192,FIEG,https://fieg.com.br/home,,,,,01.618.958/0001-03,1969-06-18,,9,400.0,0.0,486.8888888888889,272.38389756797477,3.888888888888889,0.1111111111111111,0.8215426745778183,53.35068493150685
193,FIESP,https://www.fiesp.com.br/,,,,,62.225.933.0001-34,1968-10-15,,12,,,16.0,0.0,2.0,0.0,,54.02465753424657
194,FIRJAN,https://www.firjan.com.br/pagina-inicial.htm,,,,,42.422.212/0001-07,1975-04-16,,14,308.4166666666667,42.121764630123884,13.642857142857142,4.638459455729777,2.5714285714285716,1.0,22.6064572425829,47.52054794520548
195,FUCAP,https://www.fucap.edu.br/wp/,,,,,03.681.405/0001-20,1999-12-20,,7,118.85714285714286,53.538847235118034,103.42857142857143,40.59154430897838,2.5714285714285716,0.8571428571428571,1.149171270718232,22.824657534246576
196,G4EDUCAÇÃO,https://g4educacao.com/,,,,,42.080.852/0001-86,2021-05-25,,16,2496.4375,4573.825504552371,30.0,14.142135623730951,2.0,1.0,83.21458333333334,1.3808219178082193
199,IBC COACHING,https://www.ibccoaching.com.br/,,,,,21.210.915/0001-00,2014-10-10,,21,0.0,0.0,180.0,0.0,2.0,0.0,0.0,8.008219178082191
200,PORTALIBG,https://portalibg.com.br/,,,,,10.409.442/0001-40,2008-10-14,,8,,,19.25,4.892596447695231,2.5,0.0,,14.0
201,IMPACTA,https://impacta.com.br/,,,,,59.069.914/0001-51,1988-06-10,,21,796.1885714285712,750.8344517825974,18.19047619047619,21.968850345148432,2.380952380952381,1.0,43.76952879581151,34.35890410958904
204,INTEGRAÇÃO - ESCOLA DE NEGÓCIOS,https://integracao.com.br/?utm_source=google&utm_medium=cpc&utm_campaign=institucional&gclid=Cj0KCQiAqbyNBhC2ARIsALDwAsCAt3Pkty8Daa36METbFKP4ZMkrjm3EaBo9RVIixTXFpROWd4i5IN4aArWJEALw_wcB,,,,,03.493.782/0001-36,1999-09-30,,9,1350.0,664.6803743153547,12.0,3.39934634239519,2.2222222222222223,1.0,112.5,23.046575342465754
